object_type,artefact_type,regular_cleaning,conservation_cleaning
messenger bags,bags,7,365
mixed media works ,visual works,15,180
tapestries,visual works,7,180
rare books,books,15,180
artists' books (books),books,15,180
vases,visual works,7,180
dictionaries ,books,15,180
publications (documents),documents,15,180
mixed media works? ,visual works,15,180
ceramics (object genre),porcelain,7,180
wood engravings (prints),prints,15,180
altar candlesticks,candlehandle,15,180
finger paintings (visual works),visual works,15,180
costume components,clothes,15,180
playing card boxes,boxes,15,365
blouses (military jackets),clothes,7,180
skirts (garments),garments,7,180
design development drawings ,visual works,15,180
portrait,portaits,15,180
watchcases,cases,15,180
animal equipment,objects,15,365
illustrations (layout features),visual works,15,180
gouaches (paintings) ,paintings,15,180
fasteners,accessories,15,180
Bible boxes,boxes,10,180
articles,documents,15,180
slippers (shoes),footwear,15,180
promotional materials,documents,15,180
manuals (instructional materials),documents,15,90
belts (costume accessories),accessories,15,180
linocuts (prints) ,prints,15,180
opera hats,hats,10,180
salvers,plates,15,180
squeegees,objects,15,180
candle holder ,candle holder,15,365
records (documents),documents,15,180
womenswear ,clothes,15,180
jackets (garments),clothes,15,180
packaging ,boxes,7,180
dishes (object genre) ,objects,7,180
bracelets (jewellery),accessories,15,60
stickers,accessories,15,180
picture postcards,cards,15,180
catalogs (documents),documents,15,180
photograph albums ,objects,7,180
songbooks,books,15,90
pillow shams,clothes,15,180
Buddhas (visual works),visual works,7,180
ink wash paintings ,paintings,7,180
cassocks (liturgical costume),clothes,15,180
paintings (visual works),visual works,7,90
screen prints  ,prints,7,180
bronzes (visual works),visual works,7,180
tracts (literary works),objects,15,180
annuals (publications),books,15,180
photographic lenses,accessories,15,180
cartes à figures (maps),maps,15,90
copperwork (visual works) ,visual works,7,180
lexicons,books,15,180
dishes (object genres),plates,7,180
talismans,objects,7,365
bedspreads,clothes,15,180
lists (document genres),documents,15,180
buyers' guides,documents,15,180
coverings for soft furnishings,coverings,15,180
letters (correspondence),documents,15,365
swords,objects,15,180
journals (accounts),books,7,180
colour prints (prints) ,prints,15,180
vessels (containers),containers,15,180
boxes (containers) ,containers,15,365
collages (visual works),visual works,7,180
guidebooks,books,15,180
logotypes,books,7,180
periodicals ,books,15,180
altars (religious fixtures),arts,7,365
slides (photographs),photographs,7,180
posters,objects,10,180
letterheads,documents,15,180
containers (receptacles),containers,15,180
digital prints,prints,30,180
patolas (textiles),textile,15,180
brochures,documents,15,365
oil painting (visual works) ,visual works,20,180
"sections (general, part)",documents,15,180
architectural drawings (visual works),,15,180
chairs (furniture forms),objects,7,180
contact printing frames,objects,15,180
sculpture (visual works) ,visual works,15,180
robes (main garments),garments,15,365
reports,documents,15,180
sarongs,clothes,7,180
batik art,arts,7,180
artists (visual artists) ,visual works,15,180
aerial views,photographs,7,180
packing boxes,boxes,7,180
scroll paintings ,paintings,15,365
scarves (costume accessories),clothes,15,180
postage stamps,stamps,15,180
Sculpture ,sculptures,15,180
visas,documents,15,180
bowls (vessels) ,vessels,7,180
panoramas ,photographs,15,180
colour photographs,photographs,7,365
signage,photographs,7,180
combs (grooming tools),accessories,15,180
shoeboxes,boxes,15,180
offertory tables,objects,15,180
books,books,15,365
aquatints (prints),prints,15,180
photographic equipment,objects,15,180
tunics ,clothes,7,180
inkjet prints ,prints,15,180
artists' proofs,visual works,7,180
powder flasks,vessels,15,365
stringed instruments (musical instruments),arts,15,180
serials (publications),books,15,180
pendants (lighting fixtures) ,visual works,15,180
wrist watches,accessories,7,180
photocollages (photographic compositions),visual works,15,180
pastels (visual works) ,visual works,15,180
slipcovers (furniture coverings),coverings,15,365
draperies (curtains),curtains,15,180
envelopes,accessories,7,180
notebooks,books,15,180
clippings (information artifacts),documents,15,180
necklaces,accessories,7,180
zoning maps,maps,15,365
cholis,clothes,15,180
copper engravings (visual works) ,visual works,15,180
neckwear,clothes,15,180
wall clocks ,objects,7,180
photographic prints,prints,7,180
folding cameras,cameras,15,365
jars,vessels,15,180
black-and-white photographs,photographs,15,180
aquatints (prints) ,prints,15,180
ritual objects ,objects,15,180
copper engravings (visual works),visual works,15,180
pages (components),objects,15,365
sacks (dresses),clothes,10,180
certificates,certificates,15,180
commemorative plaques,objects,15,180
Christmas cards,cards,15,180
walking sticks,objects,10,180
bags (generic containers),containers,15,365
bowls,vessels,10,180
pumps (shoes),footwear,15,180
wedding clothes,clothes,10,180
flags ,objects,15,180
magazines (periodicals),books,10,180
steamers (cookware),vessels,15,365
shirts (main garments) ,garments,7,180
documents (object genre),objects,15,180
underwear,clothes,15,180
love letters,documents,15,180
reproductions (derivative objects) ,objects,7,365
instructional materials,documents,15,180
textile art (visual works) ? ,visual works,15,180
boxes (containers),containers,7,180
engravings (prints),prints,15,180
dresses (garments),garments,7,365
ointment,objects,15,180
badges,accessories,7,180
housecoats,clothes,7,180
clothing ,clothes,15,180
silverwork,arts,7,365
packaging,boxes,7,180
cards (information artifacts),cards,15,180
certificates ,certificates,15,180
machines (general equipment),objects,15,180
projectors (image projectors),projectors,15,365
spittoons,vessels,15,180
Imari ware ,clothes,15,180
ribbon (material),accessories,7,180
figurative art ,arts,15,365
marine charts,maps,7,180
settees (multiple-seating furniture),objects,15,180
sewing kits,tools,15,180
testimonials,documents,15,180
lithographs,photographs,15,365
chokers (necklaces),accessories,15,180
bangles,accessories,15,180
business cards,cards,7,180
